"gene","x","y","shape.x","module.x","label","is_hit","hit_dir","best_lfc","best_fdr","nlp","fill_col","border_col","node_r","label_size","label_face","label_col","has_sh2","module.y","shape.y","location","module","shape"
"TELO2",NA,NA,NA,NA,NA,NA,"depleted",-0.4745,0,5.4713,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GART",NA,NA,NA,NA,NA,NA,"depleted",-0.4733,0,6.2908,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"DPH3",NA,NA,NA,NA,NA,NA,"depleted",-0.473,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NHP2",NA,NA,NA,NA,NA,NA,"depleted",-0.4718,0,5.4713,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"YWHAZ",NA,NA,NA,NA,NA,NA,"depleted",-0.4695,0,5.9484,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PHAX",NA,NA,NA,NA,NA,NA,"depleted",-0.4668,0,4.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SLC7A6OS",NA,NA,NA,NA,NA,NA,"depleted",-0.4654,0,6.3673,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CMPK1",NA,NA,NA,NA,NA,NA,"depleted",-0.4652,0,5.5232,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PRELID1",NA,NA,NA,NA,NA,NA,"depleted",-0.4615,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"WDR18",NA,NA,NA,NA,NA,NA,"depleted",-0.459,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"THAP11",NA,NA,NA,NA,NA,NA,"depleted",-0.4582,0,5.0308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ABCF1",NA,NA,NA,NA,NA,NA,"depleted",-0.4548,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"C3orf17",NA,NA,NA,NA,NA,NA,"depleted",-0.4545,0,6.0522,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ORC3",NA,NA,NA,NA,NA,NA,"depleted",-0.4521,0,5.7519,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PTP4A2",NA,NA,NA,NA,NA,NA,"depleted",-0.4484,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"WDR77",NA,NA,NA,NA,NA,NA,"depleted",-0.4374,0,5.5965,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"LRP10",NA,NA,NA,NA,NA,NA,"depleted",-0.4348,0,5.5232,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CIAO1",NA,NA,NA,NA,NA,NA,"depleted",-0.4248,0,5.3975,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"KARS",NA,NA,NA,NA,NA,NA,"depleted",-0.4236,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CAPZB",NA,NA,NA,NA,NA,NA,"depleted",-0.4191,0,4.7509,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ALG13",NA,NA,NA,NA,NA,NA,"depleted",-0.4179,0,6.4798,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NMNAT1",NA,NA,NA,NA,NA,NA,"depleted",-0.4025,0,5.2368,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"FBL",NA,NA,NA,NA,NA,NA,"depleted",-0.4,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZPR1",NA,NA,NA,NA,NA,NA,"depleted",-0.3944,0,4.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CCAR1",NA,NA,NA,NA,NA,NA,"depleted",-0.3849,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HSPD1",NA,NA,NA,NA,NA,NA,"depleted",-0.378,0,4.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"VPRBP",NA,NA,NA,NA,NA,NA,"depleted",-0.372,0,6.1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PGK1",NA,NA,NA,NA,NA,NA,"depleted",-0.3696,0,5.1514,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"YARS",NA,NA,NA,NA,NA,NA,"depleted",-0.3646,0,5.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NMD3",NA,NA,NA,NA,NA,NA,"depleted",-0.3607,0,4.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZCCHC8",NA,NA,NA,NA,NA,NA,"depleted",-0.353,0,5.0184,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"FARSA",NA,NA,NA,NA,NA,NA,"depleted",-0.3418,0,5.8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NAF1",NA,NA,NA,NA,NA,NA,"depleted",-0.34,0,4.3882,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SNRNP25",NA,NA,NA,NA,NA,NA,"depleted",-0.3355,0,5.0184,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GEMIN8",NA,NA,NA,NA,NA,NA,"depleted",-0.316,0,5.9513,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"COL4A3BP",NA,NA,NA,NA,NA,NA,"depleted",-0.281,0,4.7062,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"UTP23",NA,NA,NA,NA,NA,NA,"depleted",-0.2556,0,4.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ELP5",NA,NA,NA,NA,NA,NA,"depleted",-0.2514,0,4.5421,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TRMT112",NA,NA,NA,NA,NA,NA,"depleted",-1.1678,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF6",NA,NA,NA,NA,NA,NA,"depleted",-0.8246,0,4.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF3C",NA,NA,NA,NA,NA,NA,"depleted",-0.7498,0,6.0522,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF2B4",NA,NA,NA,NA,NA,NA,"depleted",-0.6301,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF3B",NA,NA,NA,NA,NA,NA,"depleted",-0.6025,0,6.4798,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF4G1",NA,NA,NA,NA,NA,NA,"depleted",-0.5922,0,5.0772,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF2B3",NA,NA,NA,NA,NA,NA,"depleted",-0.5574,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF3H",NA,NA,NA,NA,NA,NA,"depleted",-0.4911,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF4E",NA,NA,NA,NA,NA,NA,"depleted",-0.4105,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF3I",NA,NA,NA,NA,NA,NA,"depleted",-0.3517,0,5.5232,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"EIF2B2",NA,NA,NA,NA,NA,NA,"depleted",-0.2746,0,4.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"TAF6",NA,NA,NA,NA,NA,NA,"depleted",-1.3359,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"POLR2L",NA,NA,NA,NA,NA,NA,"depleted",-0.9927,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"NELFCD",NA,NA,NA,NA,NA,NA,"depleted",-0.5956,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"TAF1C",NA,NA,NA,NA,NA,NA,"depleted",-0.5808,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"GTF3A",NA,NA,NA,NA,NA,NA,"depleted",-0.555,0,5.2933,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"TAF2",NA,NA,NA,NA,NA,NA,"depleted",-0.5518,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"MED19",NA,NA,NA,NA,NA,NA,"depleted",-0.5304,0,4.7993,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"TAF8",NA,NA,NA,NA,NA,NA,"depleted",-0.3815,0,4.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"TAF4",NA,NA,NA,NA,NA,NA,"depleted",-0.3618,0,6.5868,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"POLR3K",NA,NA,NA,NA,NA,NA,"depleted",-0.3009,0,4.9121,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"RPS16",NA,NA,NA,NA,NA,NA,"depleted",-0.2843,1e-04,4.5697,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"ALG2",NA,NA,NA,NA,NA,NA,"depleted",-1.1012,1e-04,6.1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CDIPT",NA,NA,NA,NA,NA,NA,"depleted",-0.5685,1e-04,4.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CHORDC1",NA,NA,NA,NA,NA,NA,"depleted",-0.4893,1e-04,4.2304,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NOB1",NA,NA,NA,NA,NA,NA,"depleted",-0.4798,1e-04,4.5497,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ABCB7",NA,NA,NA,NA,NA,NA,"depleted",-0.4596,1e-04,5.4933,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ATXN2L",NA,NA,NA,NA,NA,NA,"depleted",-0.449,1e-04,5.0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"DKC1",NA,NA,NA,NA,NA,NA,"depleted",-0.4362,1e-04,4.6209,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GARS",NA,NA,NA,NA,NA,NA,"depleted",-0.4263,1e-04,5.5637,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HAUS7",NA,NA,NA,NA,NA,NA,"depleted",-0.3474,1e-04,4.4255,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SUN3",NA,NA,NA,NA,NA,NA,"depleted",-0.318,1e-04,4.0362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CYTH1",NA,NA,NA,NA,NA,NA,"depleted",-0.248,1e-04,5.2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"DGCR8",NA,NA,NA,NA,NA,NA,"depleted",-0.2466,1e-04,4.0362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NDC1",NA,NA,NA,NA,NA,NA,"depleted",-0.2038,1e-04,4.0362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TAF1D",NA,NA,NA,NA,NA,NA,"depleted",-0.4338,1e-04,4.6388,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"PRPF8",NA,NA,NA,NA,NA,NA,"depleted",-0.8036,1e-04,3.8003,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HARS",NA,NA,NA,NA,NA,NA,"depleted",-0.5921,1e-04,4.9393,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GNL3",NA,NA,NA,NA,NA,NA,"depleted",-0.4451,1e-04,5.1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZNF114",NA,NA,NA,NA,NA,NA,"depleted",-0.4394,1e-04,3.8356,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"XRCC6",NA,NA,NA,NA,NA,NA,"depleted",-0.3408,1e-04,4.1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"IARS2",NA,NA,NA,NA,NA,NA,"depleted",-0.2652,1e-04,3.8356,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EXOSC4",NA,NA,NA,NA,NA,NA,"depleted",-0.2575,1e-04,3.8157,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TMEM127",NA,NA,NA,NA,NA,NA,"depleted",-0.2377,1e-04,4.7137,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EIF2S3",NA,NA,NA,NA,NA,NA,"depleted",-0.6443,1e-04,3.9956,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"URI1",NA,NA,NA,NA,NA,NA,"depleted",-0.4172,2e-04,5.4489,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NAT10",NA,NA,NA,NA,NA,NA,"depleted",-0.3359,2e-04,4.6282,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"WDR20",NA,NA,NA,NA,NA,NA,"depleted",-0.3312,2e-04,5.3852,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZRSR2",NA,NA,NA,NA,NA,NA,"depleted",-0.3217,2e-04,3.7011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"OGT",NA,NA,NA,NA,NA,NA,"depleted",-0.4682,3e-04,3.7675,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SMNDC1",NA,NA,NA,NA,NA,NA,"depleted",-0.2841,3e-04,4.6152,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"POLR2E",NA,NA,NA,NA,NA,NA,"depleted",-0.5868,3e-04,3.5986,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"TARS",NA,NA,NA,NA,NA,NA,"depleted",-0.4732,3e-04,5.6006,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"YAE1D1",NA,NA,NA,NA,NA,NA,"depleted",-0.4605,3e-04,4.0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NOL6",NA,NA,NA,NA,NA,NA,"depleted",-0.3197,3e-04,3.5243,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SRSF11",NA,NA,NA,NA,NA,NA,"depleted",-0.281,3e-04,4.6048,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"POLR3E",NA,NA,NA,NA,NA,NA,"depleted",-0.39,3e-04,4.1642,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"CHURC1-FNTB",NA,NA,NA,NA,NA,NA,"depleted",-0.3983,3e-04,4.3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"DPAGT1",NA,NA,NA,NA,NA,NA,"depleted",-0.3767,3e-04,3.5206,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TXNIP",NA,NA,NA,NA,NA,NA,"depleted",-0.2512,3e-04,3.6616,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SENP1",NA,NA,NA,NA,NA,NA,"depleted",-0.2654,4e-04,3.4034,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZNF131",NA,NA,NA,NA,NA,NA,"depleted",-0.3939,4e-04,5.3059,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"MYBBP1A",NA,NA,NA,NA,NA,NA,"depleted",-0.2894,4e-04,4.0066,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"POLR3H",NA,NA,NA,NA,NA,NA,"depleted",-0.6377,5e-04,4.5744,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"RPL11",NA,NA,NA,NA,NA,NA,"depleted",-0.7076,6e-04,3.3062,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"UTP20",NA,NA,NA,NA,NA,NA,"depleted",-0.2685,6e-04,5.0391,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CENPM",NA,NA,NA,NA,NA,NA,"depleted",-0.3747,7e-04,3.6976,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RANGAP1",NA,NA,NA,NA,NA,NA,"depleted",-0.4124,8e-04,3.7692,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TTC27",NA,NA,NA,NA,NA,NA,"depleted",-0.5026,9e-04,4.8314,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"DUT",NA,NA,NA,NA,NA,NA,"depleted",-0.4009,9e-04,3.0396,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SRSF1",NA,NA,NA,NA,NA,NA,"depleted",-0.3914,0.001,3.1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPL8",NA,NA,NA,NA,NA,NA,"depleted",-0.6993,0.001,3.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"RPS18",NA,NA,NA,NA,NA,NA,"depleted",-0.3506,0.001,3.5484,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"HSPB7",NA,NA,NA,NA,NA,NA,"depleted",-0.3584,0.001,3.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NIFK",NA,NA,NA,NA,NA,NA,"depleted",-0.3112,0.001,3.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"INTS4",NA,NA,NA,NA,NA,NA,"depleted",-0.3014,0.001,3.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EIF4A1",NA,NA,NA,NA,NA,NA,"depleted",-0.452,0.001,3.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"GTF2H1",NA,NA,NA,NA,NA,NA,"depleted",-0.3471,0.001,3.5898,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"RABIF",NA,NA,NA,NA,NA,NA,"depleted",-0.3013,0.001,2.9918,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ANKRD54",NA,NA,NA,NA,NA,NA,"depleted",-0.2636,0.001,3.4119,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CLCA4",NA,NA,NA,NA,NA,NA,"depleted",-0.2608,0.001,2.9918,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"C2orf47",NA,NA,NA,NA,NA,NA,"depleted",-0.2599,0.001,2.9918,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SEH1L",NA,NA,NA,NA,NA,NA,"depleted",-0.5348,0.0011,3.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"OSGIN2",NA,NA,NA,NA,NA,NA,"depleted",-0.3296,0.0011,2.9954,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EIF2B5",NA,NA,NA,NA,NA,NA,"depleted",-0.5215,0.0011,3.7948,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"WDR24",NA,NA,NA,NA,NA,NA,"depleted",-0.2073,0.0011,2.9817,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPLP0",NA,NA,NA,NA,NA,NA,"depleted",-0.3073,0.0011,4.3219,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"RPL21",NA,NA,NA,NA,NA,NA,"depleted",-0.2944,0.0011,3.4134,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"RRP12",NA,NA,NA,NA,NA,NA,"depleted",-0.5683,0.0011,3.3639,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PMF1-BGLAP",NA,NA,NA,NA,NA,NA,"depleted",-0.3963,0.0011,4.0836,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CEBPZ",NA,NA,NA,NA,NA,NA,"depleted",-0.3822,0.0011,3.1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"WDR26",NA,NA,NA,NA,NA,NA,"depleted",-0.2341,0.0011,2.9594,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HYOU1",NA,NA,NA,NA,NA,NA,"depleted",-0.3782,0.0011,3.4291,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"MCM5",NA,NA,NA,NA,NA,NA,"depleted",-0.3284,0.0011,2.9519,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPN1",NA,NA,NA,NA,NA,NA,"depleted",-0.3225,0.0011,4.6421,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TMEM41B",NA,NA,NA,NA,NA,NA,"depleted",-0.2524,0.0011,2.9519,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPL31",NA,NA,NA,NA,NA,NA,"depleted",-0.4454,0.0012,3.9399,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"PSMD12",NA,NA,NA,NA,NA,NA,"depleted",-0.2977,0.0012,2.9073,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"IKBKAP",NA,NA,NA,NA,NA,NA,"depleted",-0.3333,0.0013,3.8226,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PAGR1",NA,NA,NA,NA,NA,NA,"depleted",-0.2916,0.0013,2.8962,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"DIS3",NA,NA,NA,NA,NA,NA,"depleted",-0.3991,0.0013,3.1669,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CSK",NA,NA,NA,NA,NA,NA,"depleted",-0.303,0.0013,2.8854,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ATP1B3",NA,NA,NA,NA,NA,NA,"depleted",-0.3004,0.0013,2.8732,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SRP14",NA,NA,NA,NA,NA,NA,"depleted",-0.5692,0.0014,3.1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ATP6V1F",NA,NA,NA,NA,NA,NA,"depleted",-0.3409,0.0014,3.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HSPE1",NA,NA,NA,NA,NA,NA,"depleted",-0.5192,0.0014,2.8431,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZNF675",NA,NA,NA,NA,NA,NA,"depleted",-0.4102,0.0014,2.8431,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PHOSPHO1",NA,NA,NA,NA,NA,NA,"depleted",-0.2347,0.0014,2.8431,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RTFDC1",NA,NA,NA,NA,NA,NA,"depleted",-0.4922,0.0015,2.8204,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RRP36",NA,NA,NA,NA,NA,NA,"depleted",-0.5522,0.0015,3.3661,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NUS1",NA,NA,NA,NA,NA,NA,"depleted",-0.2733,0.0015,2.8159,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HSCB",NA,NA,NA,NA,NA,NA,"depleted",-0.2706,0.0015,3.3038,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"MVD",NA,NA,NA,NA,NA,NA,"depleted",-0.2339,0.0015,3.8686,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HSP90B1",NA,NA,NA,NA,NA,NA,"depleted",-0.3918,0.0015,2.9651,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GTPBP4",NA,NA,NA,NA,NA,NA,"depleted",-0.3794,0.0015,3.2235,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"MED11",NA,NA,NA,NA,NA,NA,"depleted",-0.5693,0.0015,2.8097,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Txn machinery",NA
"RPS11",NA,NA,NA,NA,NA,NA,"depleted",-0.3437,0.0017,2.8678,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"GMPS",NA,NA,NA,NA,NA,NA,"depleted",-0.5417,0.0017,2.8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PGAM1",NA,NA,NA,NA,NA,NA,"depleted",-0.2273,0.0017,2.7637,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPS19BP1",NA,NA,NA,NA,NA,NA,"depleted",-0.3309,0.0019,3.7871,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"SNRNP40",NA,NA,NA,NA,NA,NA,"depleted",-0.3331,0.0019,2.7199,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CPT1B",NA,NA,NA,NA,NA,NA,"depleted",-0.3237,0.0019,2.7129,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EXOSC9",NA,NA,NA,NA,NA,NA,"depleted",-0.4583,0.002,3.4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPS26",NA,NA,NA,NA,NA,NA,"depleted",-0.4935,0.0021,2.9668,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"PSMG4",NA,NA,NA,NA,NA,NA,"depleted",-0.2681,0.0021,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZCRB1",NA,NA,NA,NA,NA,NA,"depleted",-0.3329,0.0022,3.9744,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EIF3J",NA,NA,NA,NA,NA,NA,"depleted",-0.4116,0.0022,3.6327,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Translation",NA
"RPS5",NA,NA,NA,NA,NA,NA,"depleted",-0.3411,0.0023,2.6469,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
